[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/37
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/38
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/39
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/3a
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/3b
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/3c
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/3d
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/3e
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/3f
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/40
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/41
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/42
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/43
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/44
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/45
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/46
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/47
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/48
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/49
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/4a
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/4b
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/4c
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/4d
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/4e
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/4f
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/50
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/51
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/52
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/53
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/54
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/55
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/56
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/57
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/58
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/59
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/5a
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/5b
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/5c
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/5d
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/5e
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/5f
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/60
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/61
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/62
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/63
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/64
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/65
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/66
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/67
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/68
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/69
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/6a
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/6b
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/6c
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/6d
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/6e
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/6f
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/70
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/71
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/72
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/73
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/74
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/75
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/76
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/77
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/78
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/79
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/7a
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/7b
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/7c
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/7d
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/7e
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/7f
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/80
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/81
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/82
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/83
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/84
