------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:12 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.mgr.flows_checked                        | Total                     | 171
flow.mgr.flows_notimeout                      | Total                     | 171
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849704
tcp.reassembly_memuse                         | Total                     | 5074988
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:44 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 5028
ips.blocked                                   | Total                     | 716
ips.drop_reason.flow_drop                     | Total                     | 668
ips.drop_reason.applayer_error                | Total                     | 37
ips.drop_reason.stream_error                  | Total                     | 1
ips.drop_reason.stream_midstream              | Total                     | 10
decoder.pkts                                  | Total                     | 5745
decoder.bytes                                 | Total                     | 7867206
decoder.ipv4                                  | Total                     | 5738
decoder.ipv6                                  | Total                     | 7
decoder.tcp                                   | Total                     | 4172
tcp.syn                                       | Total                     | 136
tcp.synack                                    | Total                     | 136
tcp.rst                                       | Total                     | 5
decoder.udp                                   | Total                     | 1563
decoder.icmpv4                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 1369
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 136
flow.total                                    | Total                     | 250
flow.active                                   | Total                     | 250
flow.tcp                                      | Total                     | 146
flow.udp                                      | Total                     | 104
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 8
tcp.sessions                                  | Total                     | 136
tcp.ssn_from_pool                             | Total                     | 136
tcp.segment_from_cache                        | Total                     | 1625
tcp.segment_from_pool                         | Total                     | 314
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 28
app_layer.flow.quic                           | Total                     | 39
app_layer.tx.quic                             | Total                     | 104
app_layer.error.quic.parser                   | Total                     | 37
app_layer.flow.dns_udp                        | Total                     | 40
app_layer.tx.dns_udp                          | Total                     | 80
app_layer.flow.failed_udp                     | Total                     | 25
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 236
flow.mgr.flows_notimeout                      | Total                     | 236
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 5808128
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:52:50 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 178
ips.blocked                                   | Total                     | 69
ips.drop_reason.flow_drop                     | Total                     | 54
ips.drop_reason.stream_midstream              | Total                     | 15
decoder.pkts                                  | Total                     | 248
decoder.bytes                                 | Total                     | 798683
decoder.ipv4                                  | Total                     | 248
decoder.tcp                                   | Total                     | 225
tcp.syn                                       | Total                     | 19
tcp.synack                                    | Total                     | 19
decoder.udp                                   | Total                     | 22
decoder.icmpv4                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 3220
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 19
flow.total                                    | Total                     | 42
flow.active                                   | Total                     | 42
flow.tcp                                      | Total                     | 34
flow.udp                                      | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_pool                             | Total                     | 19
tcp.segment_from_pool                         | Total                     | 19
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.failed_udp                     | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 13
flow.mgr.flows_notimeout                      | Total                     | 13
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 2078720
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:52:58 (uptime: 0d, 00h 00m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 774
ips.blocked                                   | Total                     | 208
ips.drop_reason.flow_drop                     | Total                     | 184
ips.drop_reason.applayer_error                | Total                     | 4
ips.drop_reason.stream_midstream              | Total                     | 20
decoder.pkts                                  | Total                     | 983
decoder.bytes                                 | Total                     | 2937066
decoder.ipv4                                  | Total                     | 983
decoder.tcp                                   | Total                     | 828
tcp.syn                                       | Total                     | 70
tcp.synack                                    | Total                     | 70
tcp.rst                                       | Total                     | 1
decoder.udp                                   | Total                     | 152
decoder.icmpv4                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 2987
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 70
flow.total                                    | Total                     | 122
flow.active                                   | Total                     | 122
flow.tcp                                      | Total                     | 90
flow.udp                                      | Total                     | 32
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 70
tcp.ssn_from_pool                             | Total                     | 70
tcp.segment_from_cache                        | Total                     | 32
tcp.segment_from_pool                         | Total                     | 79
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.quic                           | Total                     | 4
app_layer.tx.quic                             | Total                     | 8
app_layer.error.quic.parser                   | Total                     | 4
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 11
app_layer.tx.dns_udp                          | Total                     | 22
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 76
flow.mgr.flows_notimeout                      | Total                     | 76
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849744
tcp.reassembly_memuse                         | Total                     | 3864620
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:53:06 (uptime: 0d, 00h 00m 24s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 1162
ips.blocked                                   | Total                     | 273
ips.drop_reason.flow_drop                     | Total                     | 241
ips.drop_reason.applayer_error                | Total                     | 6
ips.drop_reason.stream_error                  | Total                     | 1
ips.drop_reason.stream_midstream              | Total                     | 25
decoder.pkts                                  | Total                     | 1436
decoder.bytes                                 | Total                     | 3639560
decoder.ipv4                                  | Total                     | 1436
decoder.tcp                                   | Total                     | 1213
tcp.syn                                       | Total                     | 89
tcp.synack                                    | Total                     | 89
tcp.rst                                       | Total                     | 7
decoder.udp                                   | Total                     | 219
decoder.icmpv4                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 2534
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 89
flow.total                                    | Total                     | 152
flow.active                                   | Total                     | 152
flow.tcp                                      | Total                     | 114
flow.udp                                      | Total                     | 38
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 89
tcp.ssn_from_pool                             | Total                     | 89
tcp.segment_from_cache                        | Total                     | 110
tcp.segment_from_pool                         | Total                     | 154
tcp.overlap                                   | Total                     | 3
app_layer.flow.tls                            | Total                     | 10
app_layer.flow.quic                           | Total                     | 6
app_layer.tx.quic                             | Total                     | 12
app_layer.error.quic.parser                   | Total                     | 6
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 14
app_layer.flow.dns_udp                        | Total                     | 11
app_layer.tx.dns_udp                          | Total                     | 22
app_layer.flow.failed_udp                     | Total                     | 19
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 139
flow.mgr.flows_notimeout                      | Total                     | 139
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849704
tcp.reassembly_memuse                         | Total                     | 4622380
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:53:14 (uptime: 0d, 00h 00m 32s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 1511
ips.blocked                                   | Total                     | 335
ips.drop_reason.flow_drop                     | Total                     | 301
ips.drop_reason.applayer_error                | Total                     | 7
ips.drop_reason.stream_error                  | Total                     | 1
ips.drop_reason.stream_midstream              | Total                     | 26
